Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.75,-0.5156,0.10023,0.09673,-0.0016,1,0.0645
-9.5,-0.5214,0.09504,0.09158,-0.0061,1,0.0668
-9,-0.5976,0.07991,0.07619,-0.0242,1,0.0688
-8.75,-0.589,0.07404,0.07042,-0.0241,1,0.0696
-8.5,-0.5746,0.07131,0.06777,-0.023,1,0.0704
-8.25,-0.5652,0.06866,0.06513,-0.0223,1,0.0715
-8,-0.5583,0.06581,0.06225,-0.0221,1,0.0732
-7.75,-0.5552,0.06229,0.05863,-0.0222,1,0.0763
-7.25,-0.5909,0.04245,0.03736,-0.0182,1,0.0599
-7,-0.5731,0.04093,0.03595,-0.0174,1,0.061
-6.75,-0.5791,0.03279,0.02698,-0.0125,1,0.0529
-6.5,-0.5668,0.03086,0.02485,-0.0101,1,0.0539
-6.25,-0.5559,0.02892,0.02266,-0.0073,1,0.0551
-6,-0.5472,0.02694,0.02038,-0.0041,1,0.056
-5.75,-0.5104,0.02429,0.01724,-0.006,0.9938,0.0575
-5.5,-0.4688,0.02212,0.01472,-0.0089,0.9852,0.0603
-5.25,-0.4256,0.02101,0.0136,-0.0122,0.9751,0.0636
-5,-0.3842,0.01977,0.01214,-0.0146,0.9617,0.067
-4.75,-0.3454,0.01845,0.01072,-0.0166,0.9449,0.0711
-4.5,-0.3099,0.0177,0.00993,-0.0178,0.9241,0.0754
-4.25,-0.281,0.01716,0.00922,-0.0173,0.8976,0.0797
-4,-0.2561,0.01627,0.00833,-0.0163,0.8712,0.0848
-3.75,-0.2322,0.01585,0.0078,-0.0149,0.8434,0.0902
-3.5,-0.2088,0.01525,0.00712,-0.0135,0.8174,0.0965
-3.25,-0.1848,0.01493,0.00671,-0.0123,0.7921,0.1039
-3,-0.1612,0.01445,0.00617,-0.0111,0.7692,0.1125
-2.75,-0.1365,0.01416,0.00578,-0.0101,0.7465,0.1232
-2.5,-0.1122,0.01383,0.00541,-0.0092,0.7257,0.1369
-2.25,-0.0881,0.01347,0.00503,-0.0082,0.7066,0.1547
-2,-0.0645,0.01306,0.0047,-0.0073,0.689,0.1814
-1.75,-0.0419,0.01253,0.00438,-0.0063,0.6726,0.2371
-1.5,-0.0402,0.01025,0.00421,-0.001,0.6596,0.7327
-1.25,0.0022,0.01068,0.00493,-0.0013,0.6439,0.9069
-1,0.0434,0.01128,0.00534,-0.0025,0.6291,0.9416
-0.75,0.1083,0.01187,0.00568,-0.009,0.6129,0.9607
-0.5,0.1664,0.01222,0.0058,-0.0147,0.5984,0.9767
-0.25,0.2252,0.01236,0.00575,-0.0208,0.5842,0.9902
0,0.2823,0.01233,0.00557,-0.0269,0.5703,1
0.25,0.3073,0.01232,0.00547,-0.0266,0.5599,1
0.5,0.3322,0.01236,0.00536,-0.0262,0.5506,1
0.75,0.3573,0.01236,0.00531,-0.0259,0.5405,1
1,0.3824,0.01242,0.00525,-0.0256,0.5321,1
1.25,0.4075,0.01244,0.00524,-0.0252,0.5225,1
1.5,0.4327,0.01253,0.00522,-0.0249,0.5146,1
1.75,0.458,0.01258,0.00524,-0.0245,0.5055,1
2,0.4833,0.01269,0.00526,-0.0242,0.4978,1
2.25,0.5085,0.01276,0.00532,-0.0238,0.4891,1
2.5,0.5338,0.01289,0.00536,-0.0234,0.4819,1
2.75,0.5589,0.01297,0.00546,-0.023,0.4733,1
3,0.5838,0.01314,0.00552,-0.0225,0.4665,1
3.25,0.6084,0.01324,0.00567,-0.022,0.4581,1
3.5,0.6331,0.0134,0.00576,-0.0215,0.4511,1
3.75,0.6576,0.01354,0.00594,-0.0209,0.4431,1
4,0.682,0.01369,0.00605,-0.0203,0.4359,1
4.25,0.7062,0.01388,0.00626,-0.0197,0.4284,1
4.5,0.7303,0.01403,0.0064,-0.0191,0.4208,1
4.75,0.7544,0.01424,0.00659,-0.0184,0.4137,1
5,0.7782,0.0144,0.00678,-0.0177,0.4058,1
5.25,0.802,0.01462,0.00697,-0.017,0.3989,1
5.5,0.8254,0.01479,0.00721,-0.0163,0.3906,1
5.75,0.8492,0.01503,0.00738,-0.0155,0.3837,1
6,0.8721,0.01519,0.00766,-0.0147,0.3751,1
6.25,0.8956,0.01544,0.00783,-0.0139,0.3679,1
6.5,0.9181,0.0156,0.00812,-0.013,0.3589,1
6.75,0.9412,0.01585,0.00832,-0.0122,0.3512,1
7,0.9633,0.01602,0.00858,-0.0112,0.3418,1
7.25,0.9856,0.01625,0.00883,-0.0102,0.333,1
7.5,1.0076,0.01643,0.00904,-0.0092,0.3235,1
7.75,1.0292,0.01667,0.00935,-0.0082,0.3134,1
8,1.0507,0.01692,0.00957,-0.0072,0.3038,1
8.25,1.0716,0.01713,0.00986,-0.006,0.2929,1
8.5,1.0923,0.0174,0.01021,-0.0049,0.2817,1
8.75,1.1125,0.0177,0.01053,-0.0037,0.2706,1
9,1.1319,0.01804,0.01085,-0.0025,0.259,1
9.25,1.1511,0.01838,0.01126,-0.0012,0.2461,1
9.5,1.1697,0.01877,0.01171,0.0001,0.2326,1
9.75,1.1874,0.01924,0.01221,0.0015,0.2182,1
10,1.2041,0.01978,0.01277,0.0029,0.2031,1
10.25,1.2191,0.02045,0.01342,0.0045,0.187,1
10.5,1.233,0.02121,0.01419,0.0062,0.1699,1
10.75,1.2448,0.02211,0.01507,0.008,0.152,1
11,1.2531,0.02321,0.01613,0.0102,0.1354,1
11.25,1.2578,0.02448,0.01735,0.0127,0.121,1
11.5,1.2583,0.02583,0.0187,0.0156,0.1095,1
11.75,1.2576,0.02746,0.02032,0.018,0.1,1
12,1.254,0.02955,0.02238,0.0199,0.0928,1
12.25,1.2548,0.03161,0.02451,0.0209,0.0857,1
12.5,1.2515,0.03423,0.02715,0.0215,0.0805,1
12.75,1.2519,0.03675,0.02975,0.0216,0.0754,1
13,1.246,0.03992,0.03286,0.0217,0.0717,1
13.25,1.2477,0.04256,0.03567,0.0214,0.0679,1
13.5,1.2463,0.04551,0.03868,0.021,0.0647,1
13.75,1.2424,0.04855,0.04164,0.0212,0.0619,1
14,1.2427,0.05146,0.04473,0.0207,0.0594,1
14.25,1.242,0.05443,0.04777,0.0202,0.0569,1
14.5,1.2411,0.05734,0.05069,0.0199,0.0549,1
14.75,1.2424,0.05977,0.0531,0.0205,0.0528,1
15,1.241,0.06297,0.05648,0.0198,0.0511,1
15.25,1.2403,0.06604,0.05965,0.0192,0.0493,1
15.5,1.241,0.06892,0.06255,0.0186,0.0477,1
15.75,1.2484,0.07051,0.06404,0.0198,0.0457,1
16,1.2453,0.07416,0.06787,0.0187,0.0447,1
16.25,1.2423,0.07782,0.07171,0.0176,0.0436,1
16.5,1.2394,0.08152,0.07554,0.0165,0.0425,1
16.75,1.238,0.085,0.07912,0.0155,0.0414,1
17,1.2393,0.08801,0.08217,0.0147,0.0403,1
17.25,1.2488,0.0894,0.08347,0.0159,0.0388,1
17.5,1.2376,0.09468,0.08898,0.0134,0.0384,1
17.75,1.2263,0.10012,0.09463,0.0108,0.0379,1
18,1.2141,0.10581,0.10053,0.008,0.0374,1
18.25,1.2006,0.11186,0.10678,0.005,0.037,1
18.5,1.1851,0.11847,0.11359,0.0015,0.0367,1
18.75,1.1663,0.12597,0.12129,-0.0027,0.0365,1
19,1.1415,0.13501,0.13057,-0.0081,0.0364,1
